1618,NICE,DINNER,far
Bowl and Naan,INDIAN,LUNCH/DINNER,close
Cookout,CHAIN,DINNER/DESSERT,close
Cracker Barrel,AMERICANA,BREAKFAST,close
Da Vinci’s Table,ITALIAN,DINNER,close
Don,ASIAN,DINNER,far
GIA,NICE,DINNER,far
Grill Works,AMERICANA,BREAKFAST,far
Hops Burgers,AMERICANA,DINNER,far
Maxie B’s,AMERICANA,DESSERT,far
Med Deli,MEDITERRANEAN,LUNCH/DINNER/DESSERT,close
Michelle’s Kitchen,NICE,DINNER,close
Mixed Rice,ASIAN,LUNCH/DINNER,close
New York Bagels,AMERICANA,BREAKFAST/LUNCH/DINNER,close
Pandora’s,PIZZA,DINNER,close
Panera,CHAIN,BREAKFAST/LUNCH/DINNER,close
Pho Hien Vuong,ASIAN,DINNER,far
Prego’s,ITALIAN,DINNER,close
Press,AMERICANA,BREAKFAST/LUNCH,far
Print Works,NICE,BREAKFAST/DINNER,far
Red Bowl,ASIAN,DINNER,close
Sal’s,ITALIAN,DINNER,close
San Marcos,MEXICAN,DINNER,close
Simply Thai,ASIAN,DINNER,close
Steak and Shake,AMERICANA,DINNER/DESSERT,close
Taaza,INDIAN,DINNER,close
The Mission,MEXICAN,DINNER,close
The Root,AMERICANA,LUNCH/DINNER,close
Tropical Smoothie,AMERICANA,DESSERT,close
Umami,ASIAN,DINNER,far
